Subject,Type,RMSD.copx.IMF2,RMSD.copy.IMF5,RMSD.copy.IMF6,ApEn.copx.IMF2,ApEn.copy.IMF4,ApEn.copy.IMF5,SampEn.copy.IMF5,SampEn.copy.IMF7,POWER.copy.IMF5,POWER.copy.IMF6,MF.copy.IMF4,MF.copy.IMF5
45,Old,0.389550542,0.247822074,0.506900178,0.166656519,0.05296996,0.026119882,0.026537779,0,378.9061727,1682.818745,0.25,0.116666667
46,Old,0.472859418,0.396297985,0.300821943,0.203659045,0.050871804,0.026183502,0.026342759,0.005356308,965.1339964,560.6679095,0.216666667,0.133333333
46,Old,0.255534633,0.272853776,0.523034715,0.230327155,0.063833063,0.0280859,0.028257708,0,441.7610632,1803.265116,0.316666667,0.133333333
46,Old,0.263238534,0.455872168,0.253831134,0.298825469,0.057428149,0.032654059,0.029606307,0.003598313,1273.826965,389.7286489,0.25,0.15
47,Old,0.3499185,0.32876823,0.217195236,0.224752665,0.04779462,0.028436716,0.027785976,0,657.4653773,297.348988,0.2,0.15
47,Old,0.401990242,0.303972132,0.238025095,0.173496002,0.048556453,0.022282224,0.021737143,0.006491081,564.2348158,345.291514,0.216666667,0.116666667
47,Old,0.397374654,0.340494214,0.235806381,0.156620542,0.047605285,0.019816052,0.019666752,0.002566523,703.2329873,340.0950263,0.233333333,0.1
50,Old,0.340741336,0.317633356,0.135253287,0.211739471,0.044758283,0.02152233,0.02118829,0,609.2067193,106.0024581,0.2,0.116666667
50,Old,0.409090248,0.391049332,0.350104546,0.201229875,0.047585827,0.018420482,0.019361104,0.003488314,947.7102315,692.759439,0.233333333,0.1
50,Old,0.238714053,0.355353145,0.205375954,0.24571234,0.040764133,0.018482885,0.016580381,0.006531615,776.6971598,261.7615871,0.183333333,0.1
58,Old,0.286270843,0.313509246,0.250869201,0.244915324,0.054671576,0.030329912,0.029876267,0.005642557,599.6072329,402.4689421,0.266666667,0.15
58,Old,0.18253889,0.360606157,0.23257726,0.304923727,0.049129115,0.024147375,0.022461357,0.007936353,787.7126917,341.7108894,0.216666667,0.116666667
58,Old,0.16797562,0.295226019,0.160072971,0.291449087,0.049416308,0.029810405,0.030676875,0.004432938,526.0885047,157.3310532,0.266666667,0.15
65,Old,0.321406272,0.505875717,0.316838801,0.330992639,0.047366526,0.022848613,0.019749502,0.007799661,1548.295609,629.4207286,0.216666667,0.133333333
65,Old,0.29506074,0.343189922,0.427227499,0.324307029,0.046822115,0.019363336,0.018315059,0.002760205,739.7680595,1119.130623,0.233333333,0.083333333
65,Old,0.36817555,0.519708016,0.557851778,0.269860375,0.05103953,0.027720314,0.024737892,0.008207554,1626.237536,1972.73623,0.25,0.15
67,Old,0.445826121,0.424575536,0.240038548,0.165414641,0.035324734,0.016362259,0.016072167,0,1079.510703,358.6504652,0.183333333,0.083333333
67,Old,0.531755343,0.454616862,0.375683605,0.167932959,0.038138251,0.013780347,0.015757565,0.00415526,1163.008413,811.9692121,0.183333333,0.066666667
67,Old,0.486898594,0.513989714,0,0.183951466,0.032816811,0.014594865,0.014525282,0,1655.031845,0,0.166666667,0.066666667
68,Old,0.569236777,0.399374412,0.436870033,0.164167496,0.033086046,0.012538122,0.012947787,0,942.5002523,1092.997727,0.183333333,0.066666667
68,Old,0.363033663,0.550657596,0.232064858,0.197705697,0.032905752,0.019252312,0.018050312,0.006192902,1839.83206,337.5946733,0.166666667,0.116666667
68,Old,0.359597402,0.432323332,0.133922834,0.199132669,0.034229577,0.024968184,0.023661425,0.007854407,1131.640047,110.9480307,0.166666667,0.133333333
69,Old,0.212728774,0.169891836,0.230508167,0.268782291,0.055501316,0.027495697,0.027680578,0.005128929,176.8827257,330.8413601,0.266666667,0.133333333
69,Old,0.207611848,0.267684144,0.260071721,0.277836856,0.053531298,0.026239697,0.026626433,0.003033575,442.3433483,432.2202314,0.266666667,0.116666667
69,Old,0.226686939,0.305021849,0.296069879,0.28965508,0.059326224,0.023942849,0.024265055,0,575.9436385,540.4905588,0.3,0.116666667
70,Old,0.277156459,0.416538571,0.300732006,0.222558755,0.060638696,0.026116379,0.026427408,0,1058.396844,577.6434017,0.316666667,0.133333333
