Subject,Type,RMSD.copx.IMF3,ApEn.copx.IMF1,ApEn.copx.IMF3,ApEn.copx.IMF4,ApEn.copy.IMF1,ApEn.copy.IMF2,SampEn.copx,SampEn.copx.IMF1,SampEn.copx.IMF3,SampEn.copx.IMF4,SampEn.copy,SampEn.copy.IMF1,SampEn.copy.IMF2,POWER.copx.IMF3,MF.copx.IMF3,MF.copx.IMF4,MF.copy.IMF2
85,Fall,0.219190104,0.379368903,0.140455066,0.073758412,0.21444562,0.276843981,0.485167101,0.2057808,0.137516078,0.070373838,0.261016631,0.097904439,0.240017007,288.1970203,0.6,0.35,0.966666667
86,Fall,0.115201953,0.469252265,0.079821127,0.053392386,0.524642739,0.205157636,0.595112001,0.321953594,0.061625216,0.054107832,0.491968988,0.460001296,0.104380417,78.96475582,0.4,0.25,0.9
86,Fall,0.103641372,0.394444445,0.09310473,0.049297635,0.479609555,0.293246426,0.528380258,0.218659819,0.09233324,0.049448072,0.340942866,0.422699202,0.195970455,64.72336441,0.4,0.25,1.15
86,Fall,0.1177695,0.429654456,0.10434935,0.04351992,0.049854018,0.142437467,0.569843866,0.30336046,0.096060648,0.042949078,0.508701102,0.031630819,0.065178394,82.77172915,0.466666667,0.183333333,0.55
92,Fall,0.177130977,0.300163142,0.134095838,0.052771814,0.143011879,0.169453114,0.438699697,0.193533661,0.126043052,0.053865249,0.23834705,0.068954059,0.075733157,188.3641814,0.55,0.233333333,0.85
92,Fall,0.300836758,0.581135786,0.110534041,0.047335804,0.404184667,0.220535089,0.616522018,0.47372481,0.09271752,0.042810401,0.534171943,0.285165711,0.17471642,540.6545155,0.5,0.233333333,0.783333333
92,Fall,0.194130926,0.509399722,0.145414571,0.079454656,0.236601245,0.178760947,0.581073257,0.377410749,0.127422023,0.070437786,0.385245982,0.165690021,0.107405627,225.384157,0.616666667,0.366666667,0.7
95,Fall,0.080490826,0.292963872,0.142472531,0.058848499,0.626923876,0.288053612,0.557022926,0.187314249,0.140431809,0.059452666,0.355083061,0.583558477,0.185101601,38.92477694,0.566666667,0.283333333,1.1
95,Fall,0.102888272,0.13804357,0.129033628,0.058603015,0.662525009,0.300610345,0.350236519,0.037084166,0.125220459,0.054196517,0.135770346,0.618325168,0.195587968,63.53984633,0.533333333,0.3,0.933333333
95,Fall,0.061298558,0.314415046,0.188431676,0.069512197,0.624171814,0.381522963,0.569205386,0.195276979,0.185259546,0.069060406,0.401240772,0.587240663,0.28991335,22.55877695,0.733333333,0.316666667,1.416666667
100,Fall,0.19252063,0.294798884,0.093723982,0.050010909,0.642804257,0.174400682,0.583294141,0.186647698,0.092373184,0.051966311,0.487513459,0.589050779,0.087004157,222.4170251,0.433333333,0.25,0.716666667
100,Fall,0.142186814,0.588284127,0.134090813,0.070215953,0.621467092,0.184464416,0.663449314,0.539038897,0.125720034,0.070169123,0.621954166,0.569868079,0.117781456,121.3105832,0.583333333,0.333333333,0.616666667
100,Fall,0.170130951,0.208075507,0.094319811,0.050150072,0.652354586,0.280496058,0.48315327,0.090064185,0.086103701,0.051408818,0.238398512,0.606154696,0.1596904,174.2070392,0.4,0.233333333,0.916666667
